,index,Unnamed: 0,copyright,creditline,createdate,division,period,totalpageviews,accessionyear,classification,style,commentary,technique,description,medium,title,accessionmethod,provenance,dated,department,dateend,people,century,objectnumber,labeltext,culture,objectid,dimensions
21,140560,60,,"Harvard Art Museums/Fogg Museum, Gift of Barbara Robinson",2007-10-26T15:23:08-04:00,Modern and Contemporary Art,,155,2007.0,Photographs,,,Gelatin silver print,,,"Actor Speaks at Malcolm's Funeral: New York: Negro actor-playwright Ossie Davis speaks to crowd of some 1,000 persons attending funeral for slain Negro extremist Malcolm X at the Faith Temple, Church of God in Christ, February 27th.  Davis praised Malcolm as a ""man who could unite many diverse elements.""  Messages from Negro and civil rights leaders from around the nation were read during the service.",Gift,,"February 27, 1965",Department of Photographs,1965,"[{'role': 'Artist', 'birthplace': 'New York, New York', 'gender': 'male', 'displaydate': '1945 - 1984', 'prefix': None, 'culture': 'American', 'displayname': 'Gordon W. Gahan', 'alphasort': 'Gahan, Gordon W.', 'name': 'Gordon W. Gahan', 'personid': 24403, 'deathplace': 'St. Thomas, US Virgin Islands', 'displayorder': 1}]",20th century,2007.184.1.171,,American,321556,"image: 19.4 x 24.1 cm (7 5/8 x 9 1/2 in.)
sheet: 20.4 x 25.3 cm (8 1/16 x 9 15/16 in.)"
22,142535,35,"© John T. Biggers Estate / Artists Rights Society (ARS), New York","Harvard Art Museums/Fogg Museum, Bequest of William S. Lieberman, by exchange",2008-02-04T15:56:43-05:00,Modern and Contemporary Art,,483,2008.0,Prints,,"Biggers was an African-American artist, who worked primarily as a mural painter and printmaker. He entered Hampton University in Virginia in 1941 where he studied with Viktor Lowenfeld, the former curator of the Museum of African art in Vienna. He was also acquainted with Charles White and Elizabeth Catlett, prominent black artists teaching at Hampton. While he was still an undergraduate, one of Biggers' paintings was included in a landmark exhibition at the Museum of Modern Art in 1943, Young Negro Art, establishing his reputation. After completing his Ph.D. in fine arts at Pennsylvania State University, Biggers took a teaching position at Texas Southern University where he started the art department. Although he reached a level of national artistic distinction, he experienced the inequity of racial difference throughout his life. Awarded notable prizes by the Houston Museum of Fine Arts and the Dallas Museum of Art in the 1950s, he was unable to attend the all-white prize ceremonies at the museums.

This lithograph of two women working in a field is characteristic of his work of the late 1940s and early 1950s which focused on black folkways. Shielded from the sun in long dresses and wide-rimmed hats, the women carry a bucket and basket to haul their harvest. Their long arms hang from their tall, lean bodies, seemingly stretched from the work of bending and picking. Biggers' lithograph is composed of innumerable crayon strokes, both long and short, creating a range of shades of black and gray that give the image an overall dark and brooding tone.",Lithograph,,Lithograph on wove paper,Harvesters,Purchase,"Reverend and Mrs. Randall Lee Gibson, Bronx, NY, acquired directly from the artist when he was at Boston University, c. 1952; to Michael Rosenfeld Gallery, LLC, New York, NY; purchased by HUAM February 2008.",1952,Department of Prints,1952,"[{'role': 'Artist', 'birthplace': None, 'gender': 'male', 'displaydate': '1924 - 2001', 'prefix': None, 'culture': 'American', 'displayname': 'John Biggers', 'alphasort': 'Biggers, John', 'name': 'John Biggers', 'personid': 53283, 'deathplace': None, 'displayorder': 1}]",20th century,2008.23,,American,323846,"sheet: 50.17 x 39.05 cm (19 3/4 x 15 3/8 in.)
image: 42.23 x 27.94 cm (16 5/8 x 11 in.)"
28,154408,8,,"Harvard Art Museums/Straus Center for Conservation and Technical Studies, Alan Burroughs Collection of X-Radiographs",2013-02-27T14:02:40-05:00,,,7,,Photographs,,,,"X-Radiograph Description: 5 details: 1) Top Edge; 2) Head of Virgin; 3) Head of Magi's attendant; 4) Head of Negro and Figures in Shadow; 5) Head with Yellow turban-right

Burroughs Number: 3623

X-Radiograph(s) of: 
Artist: Titian, Tiziano Vecellio, called, Italian, ca. 1488-1576
Title: Adoration of the Magi
Owner: Private Collection
",,"X-radiograph(s) of ""Adoration of the Magi""",Not Recorded,,,Straus Center for Conservation and Technical Studies,0,"[{'role': 'Related name', 'birthplace': 'Pieve di Cadore, Italy', 'gender': 'male', 'displaydate': 'c. 1488 - 1576', 'prefix': 'Artist of original:', 'culture': 'Italian', 'displayname': 'Artist of original: Titian (Tiziano Vecellio)', 'alphasort': 'Titian (Tiziano Vecellio)', 'name': 'Titian (Tiziano Vecellio)', 'personid': 29041, 'deathplace': 'Venice, Italy', 'displayorder': 1}]",,Straus.7739,,,347232,
29,154536,36,,"Harvard Art Museums/Straus Center for Conservation and Technical Studies, Alan Burroughs Collection of X-Radiographs",2013-02-27T14:02:50-05:00,,,1,,Photographs,,,,"Burroughs Number: 3771

X-Radiograph(s) of: 
Artist: Rembrandt van Rijn (?), Dutch, 1606-1669
Title: Two Negroes
Owner: Owned by Dealer
",,"X-radiograph(s) of ""Two Negroes""",Not Recorded,,,Straus Center for Conservation and Technical Studies,0,"[{'role': 'Related name', 'birthplace': 'Leiden', 'gender': 'male', 'displaydate': '1606 - 1669', 'prefix': 'Artist of original: (?)', 'culture': 'Dutch', 'displayname': 'Artist of original: (?) Rembrandt Harmensz. van Rijn', 'alphasort': 'Rembrandt Harmensz. van Rijn', 'name': 'Rembrandt Harmensz. van Rijn', 'personid': 28241, 'deathplace': 'Amsterdam', 'displayorder': 1}]",,Straus.7867,,,347360,
30,158351,51,,"Harvard Art Museums/Fogg Museum, Purchase through the generosity of Anne H. and Frederick Vogel III and bequest of Nettie G. Naumburg, by exchange",2017-03-29T11:51:04-04:00,European and American Art,,108,2017.0,Vessels,,,,,Transferware porcelain,Abolitionist Butter Tub and Stand,Purchase,"Private Collection, London, sold; to [Robert Hunter British and American Porcelain and Pottery], sold; to Harvard Art Museums, 2017",Early 19th century,"Department of Paintings, Sculpture & Decorative Arts",1835,"[{'role': 'Artist', 'birthplace': None, 'gender': 'unknown', 'displaydate': None, 'prefix': None, 'culture': None, 'displayname': 'Unidentified Artist', 'alphasort': 'Unidentified Artist', 'name': 'Unidentified Artist', 'personid': 34147, 'deathplace': None, 'displayorder': 1}]",19th century,2017.84,"What can these two everyday objects tell us about the relationship between taste and global politics in the first decades of the 19th century? Both objects were produced during the British campaign to abolish slavery. An active abolitionist movement persisted in Britain because owning enslaved people was not outlawed until 1833, with its final abolishment in 1838. Ceramics such as these would have been sold at abolitionist gatherings, providing ways to support the cause. The display of these wares on the table was intended to prompt a sympathetic visual response from those who used them. 

These objects have smooth, clear ceramic bodies, with beautiful glazes and gilding, but their images evoke horror. The front of the jug shows a man in bondage, and the back of the jug features stanzas from William Cowper’s influential poem “The Negro’s Complaint” (1788), written from the perspective of an enslaved man. The emblem on the butter tub presents an enslaved woman set against a background with a palm tree. This tropical setting directly references the labor of enslaved people responsible for sugar production in the Caribbean. 

[2015.33, 2017.84] ",British,358155,"overall: 11.5 × 16 cm (4 1/2 × 6 5/16 in.)
lid: 4 × 13 cm (1 9/16 × 5 1/8 in.)
tub: 8.3 × 12 cm (3 1/4 × 4 3/4 in.)
stand: 16 cm (6 5/16 in.)"
32,178447,47,,"Harvard Art Museums/Fogg Museum, Transfer from the Peabody Museum of Archaeology and Ethnology, Harvard University (transfer from Harvard College Library), gift of John Gardiner, 1790",1997-11-10T00:00:00-05:00,European and American Art,,84,2023.0,Paintings,,,,,Oil on canvas,"Two Women of Color, Dominica [French Mulatress of Dominica and a Negro Woman in their Proper Dress]",Transfer,"John Gardiner (or Gardner) (1737-1793), Pownalborough, Maine, by 1790, gift; to Harvard College Library, 1790, deposited; at Peabody Museum, 1890, acquired; by Peabody Museum, 1975, transferred; to Harvard Art Museums, 2023",c. 1765-1790,"Department of Paintings, Sculpture & Decorative Arts",1790,"[{'role': 'Artist', 'birthplace': 'Rome, Italy', 'gender': 'unknown', 'displaydate': '1730 - 1796', 'prefix': None, 'culture': 'Italian', 'displayname': 'Agostino Brunias', 'alphasort': 'Brunias, Agostino', 'name': 'Agostino Brunias', 'personid': 19002, 'deathplace': '\r\nRoseau, Dominica', 'displayorder': 1}]",18th century,2023.183,,Italian,222160,"29.5 × 23 cm (11 5/8 × 9 1/16 in.)
framed: 34.8 × 28.7 cm (13 11/16 × 11 5/16 in.)"
33,182154,54,,"Harvard Art Museums/Fogg Museum, Anonymous Gift",1997-11-02T00:00:00-05:00,European and American Art,,90,1966.0,Paintings,,,,,Oil on canvas,Negro in a Punt in a Landscape,Gift,"Private Collector; gift to the Fogg Art Museum, 1966.
",19th century,"Department of American Paintings, Sculpture & Decorative Arts",0,"[{'role': 'Artist', 'birthplace': 'Newburgh, NY', 'gender': 'male', 'displaydate': '1825 - 1894', 'prefix': 'Imitator of', 'culture': 'American', 'displayname': 'Imitator of George Inness', 'alphasort': 'Inness, George', 'name': 'George Inness', 'personid': 26696, 'deathplace': 'Bridge of Allan, Scotland', 'displayorder': 1}]",19th century,1966.142,,American?,228099,"55.9 x 85.9 cm (22 x 33 13/16 in.)
framed: 66.4 x 96.5 x 5.7 cm (26 1/8 x 38 x 2 1/4 in.)"
34,182475,75,,"Harvard Art Museums/Fogg Museum, Transfer from the Peabody Museum of Archaeology and Ethnology, Harvard University (transfer from Harvard College Library), gift of John Gardiner, 1790",1997-10-22T00:00:00-04:00,European and American Art,,88,2023.0,Paintings,,,,,Oil on canvas,Purchasing Fruit [A French Mulatress Purchasing Fruit from a Negro Wench],Transfer,"John Gardiner (or Gardner) (1737-1793), Pownalborough, Maine, by 1790, gift; to Harvard College Library, 1790, deposited; at Peabody Museum, 1890, acquired; by Peabody Museum, 1975, transferred; to Harvard Art Museums, 2023",c. 1765-1790,"Department of Paintings, Sculpture & Decorative Arts",1790,"[{'role': 'Artist', 'birthplace': 'Rome, Italy', 'gender': 'unknown', 'displaydate': '1730 - 1796', 'prefix': None, 'culture': 'Italian', 'displayname': 'Agostino Brunias', 'alphasort': 'Brunias, Agostino', 'name': 'Agostino Brunias', 'personid': 19002, 'deathplace': '\r\nRoseau, Dominica', 'displayorder': 1}]",18th century,2023.184,,Italian,228453,"29.7 × 22.8 cm (11 11/16 × 9 in.)
framed: 35.2 × 28.7 cm (13 7/8 × 11 5/16 in.)"
35,182476,76,,"Harvard Art Museums/Fogg Museum, Transfer from the Peabody Museum of Archaeology and Ethnology, Harvard University (transfer from Harvard College Library), gift of John Gardiner, 1790",1997-10-22T00:00:00-04:00,European and American Art,,166,2023.0,Paintings,,,,,Oil on canvas,Women of Color Bathing and a Voyeur [Mulatresses and Negro Woman Bathing],Transfer,"John Gardiner (or Gardner) (1737-1793), Pownalborough, Maine, by 1790, gift; to Harvard College Library, 1790, deposited; at Peabody Museum, 1890, acquired; by Peabody Museum, 1975, transferred; to Harvard Art Museums, 2023",c. 1765-1790,"Department of Paintings, Sculpture & Decorative Arts",1790,"[{'role': 'Artist', 'birthplace': 'Rome, Italy', 'gender': 'unknown', 'displaydate': '1730 - 1796', 'prefix': None, 'culture': 'Italian', 'displayname': 'Agostino Brunias', 'alphasort': 'Brunias, Agostino', 'name': 'Agostino Brunias', 'personid': 19002, 'deathplace': '\r\nRoseau, Dominica', 'displayorder': 1}]",18th century BCE,2023.179,,Italian,228454,"29.5 × 23 cm (11 5/8 × 9 1/16 in.)
framed: 35.2 × 28.7 cm (13 7/8 × 11 5/16 in.)"
36,185872,72,,"Harvard Art Museums/Fogg Museum, Transfer from the Fine Arts Department, Harvard University",1997-10-26T00:00:00-04:00,European and American Art,,17,,Prints,,,Etching,,,"Negro Huts, near Wilminton, North Carolina",Not Recorded,,1886,Department of Prints,1886,"[{'role': 'Artist', 'birthplace': None, 'gender': 'male', 'displaydate': 'born 1820', 'prefix': None, 'culture': 'American', 'displayname': 'John M. Falconer', 'alphasort': 'Falconer, John M.', 'name': 'John M. Falconer', 'personid': 31958, 'deathplace': None, 'displayorder': 1}]",19th century,FA31,,American,232733,
37,188687,87,,"Harvard Art Museums/Fogg Museum, Anonymous Loan in honor of Hans Naef",1997-10-26T00:00:00-04:00,European and American Art,,54,,Prints,,,Etching and aquatint,,Etching and aquatint printed in brown ink on off-white antique laid paper,A View Taken in the Gardens of the Villa Negroni at Rome,Not Recorded,,c. 1778,Department of Prints,1783,"[{'role': 'Artist', 'birthplace': 'Edinburgh', 'gender': 'unknown', 'displaydate': '1740 - 1814', 'prefix': None, 'culture': 'British', 'displayname': 'Richard Cooper', 'alphasort': 'Cooper, Richard', 'name': 'Richard Cooper', 'personid': 33377, 'deathplace': None, 'displayorder': 1}]",18th century,35.1987,,British,235661,plate: 40.1 x 52.3 cm (15 13/16 x 20 9/16 in.)
38,197016,16,,"Harvard Art Museums/Fogg Museum, Gift of Belinda L. Randall from the collection of John Witt Randall",1997-10-24T00:00:00-04:00,European and American Art,,13,,Prints,,,Engraving,,,Negro Page,Gift,"John Witt Randall, bequest to his sister.
Belinda Lull Randall, gift to Harvard University, 1892. sister of John Witt Randall
",19th century,Department of Prints,0,"[{'role': 'Artist', 'birthplace': None, 'gender': 'unidentified', 'displaydate': '19th century', 'prefix': None, 'culture': 'British', 'displayname': 'James Godfrey', 'alphasort': 'Godfrey, James', 'name': 'James Godfrey', 'personid': 32188, 'deathplace': None, 'displayorder': 1}, {'role': 'Artist after', 'birthplace': 'Dordrecht, Netherlands', 'gender': 'male', 'displaydate': '1620 - 1691', 'prefix': 'After', 'culture': 'Dutch', 'displayname': 'After Aelbert Cuyp', 'alphasort': 'Cuyp, Aelbert', 'name': 'Aelbert Cuyp', 'personid': 34364, 'deathplace': 'Dordrecht, Netherlands', 'displayorder': 2}]",19th century,R13012,,British,244309,
39,203810,10,,"Harvard Art Museums/Fogg Museum, George R. Nutter Fund",1997-10-23T00:00:00-04:00,European and American Art,,113,,Prints,,,Lithograph,,,Negro Mounted Upon a Rearing Horse,Purchase,"[Galerie Paul Prouté, Paris], sold; to Fogg Art Museum",c. 1825,Department of Prints,1830,"[{'role': 'Artist', 'birthplace': 'Hertfordshire, England', 'gender': 'unknown', 'displaydate': '1804 - 1889', 'prefix': None, 'culture': 'British', 'displayname': 'Frederick Tayler', 'alphasort': 'Tayler, Frederick', 'name': 'Frederick Tayler', 'personid': 33175, 'deathplace': None, 'displayorder': 1}, {'role': 'Artist after', 'birthplace': 'Rouen', 'gender': 'male', 'displaydate': '1791 - 1824', 'prefix': 'After', 'culture': 'French', 'displayname': 'After Théodore Géricault', 'alphasort': 'Géricault, Théodore', 'name': 'Théodore Géricault', 'personid': 21958, 'deathplace': 'Paris', 'displayorder': 2}, {'role': 'Printer', 'birthplace': None, 'gender': 'unknown', 'displaydate': 'active 1820 - 1840', 'prefix': 'Printed by', 'culture': 'French', 'displayname': 'Printed by François de Villain', 'alphasort': 'de Villain, François', 'name': 'François de Villain', 'personid': 64190, 'deathplace': None, 'displayorder': 3}, {'role': 'Previous attribution', 'birthplace': None, 'gender': 'unknown', 'displaydate': '19th century', 'prefix': 'Previously attributed to', 'culture': None, 'displayname': 'Previously attributed to ? Jayler', 'alphasort': 'Jayler, ?', 'name': '? Jayler', 'personid': 32672, 'deathplace': None, 'displayorder': 4}]",19th century,M20126,,French,251121,"image: 20.4 × 26.2 cm (8 1/16 × 10 5/16 in.)
sheet: 25.6 × 34.9 cm (10 1/16 × 13 3/4 in.)"
40,207368,68,,"Harvard Art Museums/Fogg Museum, Bequest of Grenville L. Winthrop",1997-10-21T00:00:00-04:00,European and American Art,,10,1943.0,Prints,,,Engraving,,,Negropont,Bequest,,19th century,Department of Prints,0,"[{'role': 'Artist', 'birthplace': None, 'gender': 'male', 'displaydate': '1791 - 1857', 'prefix': None, 'culture': 'British', 'displayname': 'Edward Francis Finden', 'alphasort': 'Finden, Edward Francis', 'name': 'Edward Francis Finden', 'personid': 31998, 'deathplace': None, 'displayorder': 1}, {'role': 'Artist after', 'birthplace': 'London, England', 'gender': 'male', 'displaydate': '1775 - 1851', 'prefix': 'After', 'culture': 'British', 'displayname': 'After Joseph Mallord William Turner', 'alphasort': 'Turner, Joseph Mallord William', 'name': 'Joseph Mallord William Turner', 'personid': 29118, 'deathplace': 'Chelsea, England', 'displayorder': 2}]",19th century,M10874,,British,254707,
41,211999,99,,"Harvard Art Museums/Fogg Museum, Francis H. Burr Memorial Fund",1997-10-21T00:00:00-04:00,Modern and Contemporary Art,,38,1955.0,Prints,,,Drypoint,,,The Negro,Purchase,"Paul A. Struck, sold; to Fogg Art Museum, December 27, 1955.

NOTE: This is possibly from Paul A. Struck, Inc., Publisher, New York, New York.",20th century,Department of Prints,0,"[{'role': 'Artist', 'birthplace': 'Leipzig, Germany', 'gender': 'male', 'displaydate': '1884 - 1950', 'prefix': None, 'culture': 'German', 'displayname': 'Max Beckmann', 'alphasort': 'Beckmann, Max', 'name': 'Max Beckmann', 'personid': 27201, 'deathplace': 'New York, N.Y., USA', 'displayorder': 1}]",20th century,M13123,,German,259383,
42,235802,2,"© Walker Evans Archive, The Metropolitan Museum of Art","Harvard Art Museums/Fogg Museum, National Endowment for the Arts Grant",1997-07-19T00:00:00-04:00,Modern and Contemporary Art,,46,1972.0,Photographs,,,Gelatin silver print,,,"Vicksburg Negroes and shop front, Mississippi",Purchase,,"March 1936, printed later",Department of Photographs,1936,"[{'role': 'Artist', 'birthplace': 'St. Louis, Mo., USA', 'gender': 'male', 'displaydate': '1903 - 1975', 'prefix': None, 'culture': 'American', 'displayname': 'Walker Evans', 'alphasort': 'Evans, Walker', 'name': 'Walker Evans', 'personid': 19664, 'deathplace': 'New Haven, Conn., USA', 'displayorder': 1}]",20th century,P1972.105,,American,285456,actual: 20.3 x 25.4 cm (8 x 10 in.)
